index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
55,Bert-Base,WikiText,2,256/16,0.31,"0,1","10,2",vgg19,ImageNet,2,32,0.75
56,Bert-Base,WikiText,2,256/16,0.52,"0,1","10,2",DCGAN,LSUN,2,128,0.81
57,Bert-Base,WikiText,2,256/16,0.52,"0,1","10,2",PointNet,ShapeNet,2,32,0.89
58,Bert-Base,WikiText,2,256/16,0.39,"0,1","2,10",resnet50,ImageNet,2,32,0.74
59,Bert-Base,WikiText,2,256/16,0.26,"0,1","2,10",vgg19,ImageNet,2,32,0.85
60,Bert-Base,WikiText,2,256/16,0.46,"0,1","2,10",DCGAN,LSUN,2,128,1.0
61,Bert-Base,WikiText,2,256/16,0.5,"0,1","2,10",PointNet,ShapeNet,2,32,0.89
62,Bert-Base,WikiText,2,256/32,0.46,"0,1",TP24,resnet50,ImageNet,2,32,0.48
63,Bert-Base,WikiText,2,256/32,0.25,"0,1",TP24,vgg19,ImageNet,2,32,0.74
64,Bert-Base,WikiText,2,256/32,0.55,"0,1",TP24,DCGAN,LSUN,2,128,0.7
65,Bert-Base,WikiText,2,256/32,0.55,"0,1",TP24,PointNet,ShapeNet,2,32,0.87
66,Bert-Base,WikiText,2,256/16,0.7,"0,1",DP24,resnet50,ImageNet,2,32,0.41
67,Bert-Base,WikiText,2,256/16,0.42,"0,1",DP24,vgg19,ImageNet,2,32,0.7
68,Bert-Base,WikiText,2,256/16,0.8,"0,1",DP24,DCGAN,LSUN,2,128,0.57
69,Bert-Base,WikiText,2,256/16,0.92,"0,1",DP24,PointNet,ShapeNet,2,32,0.89
70,GPT2,WikiText,2,256/8,0.59,"0,1","6,6",resnet50,ImageNet,2,32,0.59
71,GPT2,WikiText,2,256/8,0.41,"0,1","6,6",vgg19,ImageNet,2,32,0.75
72,GPT2,WikiText,2,256/8,0.68,"0,1","6,6",DCGAN,LSUN,2,128,0.9
73,GPT2,WikiText,2,256/8,0.76,"0,1","6,6",PointNet,ShapeNet,2,32,0.89
74,GPT2,WikiText,2,256/8,0.5,"0,1","4,8",resnet50,ImageNet,2,32,0.69
75,GPT2,WikiText,2,256/8,0.32,"0,1","4,8",vgg19,ImageNet,2,32,0.81
76,GPT2,WikiText,2,256/8,0.56,"0,1","4,8",DCGAN,LSUN,2,128,0.99
77,GPT2,WikiText,2,256/8,0.65,"0,1","4,8",PointNet,ShapeNet,2,32,0.89
78,GPT2,WikiText,2,256/8,0.65,"0,1","8,4",resnet50,ImageNet,2,32,0.43
